[info] device: cuda
Epoch 053 | Train loss 0.00052 (mse 0.00037, ssim 0.9924) | Val MSE 0.00037 | Val SSIM 0.9924
Epoch 054 | Train loss 0.00051 (mse 0.00036, ssim 0.9926) | Val MSE 0.00037 | Val SSIM 0.9924
Epoch 055 | Train loss 0.00052 (mse 0.00037, ssim 0.9925) | Val MSE 0.00037 | Val SSIM 0.9925
Epoch 056 | Train loss 0.00052 (mse 0.00037, ssim 0.9925) | Val MSE 0.00036 | Val SSIM 0.9927
Epoch 057 | Train loss 0.00050 (mse 0.00036, ssim 0.9926) | Val MSE 0.00037 | Val SSIM 0.9925
Epoch 058 | Train loss 0.00051 (mse 0.00037, ssim 0.9926) | Val MSE 0.00036 | Val SSIM 0.9927
Epoch 059 | Train loss 0.00051 (mse 0.00037, ssim 0.9925) | Val MSE 0.00036 | Val SSIM 0.9926
Epoch 060 | Train loss 0.00051 (mse 0.00037, ssim 0.9926) | Val MSE 0.00036 | Val SSIM 0.9927
Epoch 061 | Train loss 0.00050 (mse 0.00036, ssim 0.9927) | Val MSE 0.00037 | Val SSIM 0.9926
Epoch 062 | Train loss 0.00051 (mse 0.00037, ssim 0.9926) | Val MSE 0.00037 | Val SSIM 0.9926
Epoch 063 | Train loss 0.00050 (mse 0.00036, ssim 0.9927) | Val MSE 0.00036 | Val SSIM 0.9926
Epoch 064 | Train loss 0.00050 (mse 0.00036, ssim 0.9928) | Val MSE 0.00037 | Val SSIM 0.9928
Epoch 065 | Train loss 0.00052 (mse 0.00038, ssim 0.9925) | Val MSE 0.00037 | Val SSIM 0.9925
Epoch 066 | Train loss 0.00050 (mse 0.00036, ssim 0.9927) | Val MSE 0.00036 | Val SSIM 0.9927
Epoch 067 | Train loss 0.00050 (mse 0.00037, ssim 0.9927) | Val MSE 0.00037 | Val SSIM 0.9925
Epoch 068 | Train loss 0.00050 (mse 0.00036, ssim 0.9927) | Val MSE 0.00036 | Val SSIM 0.9928
Epoch 069 | Train loss 0.00049 (mse 0.00036, ssim 0.9929) | Val MSE 0.00036 | Val SSIM 0.9929
Epoch 070 | Train loss 0.00049 (mse 0.00036, ssim 0.9929) | Val MSE 0.00039 | Val SSIM 0.9925
Epoch 071 | Train loss 0.00051 (mse 0.00037, ssim 0.9927) | Val MSE 0.00036 | Val SSIM 0.9928
Epoch 072 | Train loss 0.00049 (mse 0.00036, ssim 0.9928) | Val MSE 0.00036 | Val SSIM 0.9929
Epoch 073 | Train loss 0.00050 (mse 0.00036, ssim 0.9929) | Val MSE 0.00036 | Val SSIM 0.9929
